nom,date,enddate,distance,dplus,dminus,description,region,departement,lat,lng,raceDistances,raceName
Trail de la Tour,2024-06-22,2024-06-22,9000,240,,Viens faire un Tour,Auvergne-Rhône-Alpes,Drôme,45.269897,4.886737,[17000],Trail 9 km
Vétathlon de l'Yonne,2024-06-23,2024-06-23,7000,50,,Vélo et course à pied à l’Yonneur ,Bourgogne-Franche-Comté,Yonne,48.02443,3.670011,"[35000, 16000, 35000, 35000]",Vétatlhon jeunes - Solo - format XS
Trail Perché de Calvignac,2024-06-24,2024-06-24,12500,300,,Une course qui sort du Lot,Occitanie,Lot,44.46414499999999,1.779082,"[7500, 15500, 7500]",La Boucle Intermédiaire Calvignacoise 
La Normandique,2024-06-25,2024-06-25,7000,0,,Une marche Normandique,Normandie,Calvados,49.353976,0.075122,[12000],Marche Nordique Nature-Santé-Loisir
Grand Duc - Trail de Chartreuse,2024-06-30,2024-06-30,77000,4250,4450.0,Sappey comme jamais ,Auvergne-Rhône-Alpes,Isère,45.3875962,5.7344281,"[46000, 24000]",Grand Duc Relais à 5
Trail des Passerelles du Monteynard ,2024-07-06,2024-07-14,13000,600,,"Quand il y en a marre, il y a Monteynard !",Auvergne-Rhône-Alpes,Isère,44.899443,5.673713999999999,"[12000, 17000, 43000, 28000, 42000, 63000, 26000, 16000, 17000, 63000, 16000]",Trail du Drac
Semi-Marathon du Mont-Ventoux,2024-07-07,2024-07-07,21600,1610,,"N'est pas fou qui monte au Ventoux, est fou qui y retourne !",Provence-Alpes-Côte d'Azur,Vaucluse,44.124008,5.1803739,[],"Course sur route 21,6 km"
Le Trail des 4 x 1800,2024-07-19,2024-07-20,12000,800,,(Ça fait 7 200),Auvergne-Rhône-Alpes,Cantal,45.0827278,2.7503595,"[32000, 32000, 20000, 44000]",Le Trail du Plomb
Oisans Trail Tour,2024-07-20,2024-07-20,87000,5030,,Ose Oisans ! ,Auvergne-Rhône-Alpes,Isère,45.1406599,6.051151,"[21000, 40000]",Ultra Tour
Défi de la Muzelle,2024-07-22,2024-07-26,100000,6600,,Viens découvrir les joyaux de cet Écrin de nature,Auvergne-Rhône-Alpes,Isère,45.0081871,6.125145799999999,[50000],Défi de la Muzelle
Trail de la Meije,2024-08-31,2024-09-01,12820,552,,Le Meijeur trail du monde,Provence-Alpes-Côte d'Azur,Hautes-Alpes,45.045842,6.304705999999999,"[15000, 26000, 4800, 42000]",La Boucle de l'Aiguillon en joëlette
Trail Margeride,2024-09-14,2024-09-15,10000,250,,Tu auras Mal(aux)zieu devant tant de beauté,Occitanie,Lozère,44.855562,3.331872,"[17000, 17000, 43000, 26500]",La Veillade Dels Barons
Triathlon des Roses - Paris,2024-09-21,2024-09-21,13200,0,,Tout seinplement incroyable ! ,Île-de-France,Hauts-de-Seine,48.8300331,2.1744744,[],"Triathlon des Roses de Paris (solo, relais à 2 ou 3, challenge entreprises)"
Marathon de Vannes,2024-09-28,2024-09-29,10000,0,,C’est pas de la blague !  ,Bretagne,Morbihan,47.658236,-2.760847,"[42195, 20000, 42195, 42195]",10 Km Gwened Nocturne
Triathlon des Roses - Toulouse ,2024-09-29,2024-09-29,8100,0,,Une course sans épine ! ,Occitanie,Haute-Garonne,43.598264,1.4092542,[],"Triathlon des Roses de Lyon (solo, relais à 2 ou 3, challenge entreprises)"
Marathon des Grands Crus,2024-10-06,2024-10-06,42195,0,,Fruité et avec du corps ,Bourgogne-Franche-Comté,Côte-d'Or,47.32252070000001,5.0371733,"[21097, 10000, 5000]",Marathon
Vredestein 20 km de Paris,2024-10-06,2024-10-06,1000,0,,Le bon cru parisien ! ,Île-de-France,Paris,48.85837009999999,2.2944813,"[2024, 20000]",20kids de Paris Présentiel
Semi-Marathon des Sources du Lac d'Annecy,2024-10-06,2024-10-06,21097,100,,Récupère ton Doussard et c'est parti ! ,Auvergne-Rhône-Alpes,Haute-Savoie,45.77649599999999,6.220515000000001,[10000],Semi-Marathon
Trail en Côte-Rôtie,2024-10-19,2024-10-19,15000,0,,Du vin à toutes les sauces,Auvergne-Rhône-Alpes,Rhône,45.4889512,4.809573299999999,"[12000, 10000, 1000, 500, 1500, 45000, 45000, 45000, 24000, 2000]",La Vendangette
Marathon de Chablis,2024-10-26,2024-10-26,13200,350,,Qui aime bien Chablis bien !,Bourgogne-Franche-Comté,Yonne,47.812921,3.803712,"[21097, 11000, 42195, 19000]",Trail de la Feuillette
LUT By Night,2024-11-02,2024-11-02,15000,550,,Running night fever,Auvergne-Rhône-Alpes,Rhône,45.7605474,4.861117699999999,"[8000, 8000, 26000]",Trail 15 km
Marathon International de la Côte d’Amour,2024-11-02,2024-11-03,5000,0,,J'en reprends une tranche,Pays de la Loire,Loire-Atlantique,47.2869183,-2.3913777,"[42195, 42195, 21097, 10000]",5 km
Toulouse Métropole Run Expérience,2024-11-10,2024-11-10,42195,0,,La vie en rose ! ,Occitanie,Haute-Garonne,43.598264,1.4092542,"[10000, 21097]",Marathon en relais
Asics SaintéLyon,2024-11-30,2024-11-30,156000,4390,,"Saint'étonne, saintéfraiche, saintébynight ! ",Auvergne-Rhône-Alpes,Rhône,45.7605474,4.861117699999999,"[78000, 13000, 78000, 78000, 44000, 23000, 78000]",LyonSaintéLyon
Grand Trail des Vallons de la Vilaine,2025-04-06,2025-04-06,10000,0,,Loin d'être Vilaine !,Bretagne,Ille-et-Vilaine,47.978808,-1.721638,"[5000, 82000, 82000, 31200]",La Randonnée
Esclapa l'Oeil Trail,2024-06-22,2024-06-22,43000,2300,,Une course tape à l'Oeil ,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,43.783361,6.955305,[],Nouvelle Coursasse - relais à 2
Tour du Lac de Vassivière ,2024-06-22,2024-06-22,26000,0,,Un tour de lac ? Vassi !,Nouvelle-Aquitaine,Corrèze,45.6424049,2.094306,"[23400, 9500, 9000]",Marche-Nordique
Run in Saint-Laurent,2024-06-22,2024-06-22,5000,0,,,Occitanie,Pyrénées-Orientales,42.773217,2.989793,[10000],Marche 5 km
Trail de la petite sensée,2024-06-22,2024-06-22,800,0,,Un trail insensé !,Hauts-de-France,Nord,50.353186,3.0642045,"[7000, 11000, 21000, 1600]",La Salengro
L'Ardèche Run,2024-06-22,2024-06-22,21097,0,,Loin d'être la dèche,Auvergne-Rhône-Alpes,Ardèche,44.616893,4.404782,[],Semi-Marathon
Trail de la Cerise,2024-06-23,2024-06-23,18000,700,,Tu vas te refaire la cerise ,Provence-Alpes-Côte d'Azur,Vaucluse,43.829119,5.312693900000001,"[10000, 26000]",Trail 18 km
Triathlon d'Aydat ,2024-06-23,2024-06-23,25750,0,,,Auvergne-Rhône-Alpes,Puy-de-Dôme,45.660537,2.975199,[51500],Triathlon S
Triathlon international du Lac d’Annecy,2024-06-23,2024-06-23,4000,0,,,Auvergne-Rhône-Alpes,Haute-Savoie,45.8992115,6.131265099999999,[51500],Triathlon Sport Adpaté
Triathlon de Béziers,2024-06-23,2024-06-23,12800,0,,,Occitanie,Hérault,43.3362867,3.2188802,"[25750, 51500]",Triathlon XS
Les Foulées de Beauregard,2024-06-23,2024-06-23,9000,0,,,Auvergne-Rhône-Alpes,Rhône,45.6802146,4.793301,[14000],Marche 9 km
Foulées Gouletaises,2024-06-23,2024-06-23,6000,0,,Ca va t'Écouché par terre,Normandie,Orne,48.7174829,-0.1232008,"[10000, 8000]",Trail 6 km
Triathlon du Lac de Lourdes,2024-06-23,2024-06-23,12900,0,,,Occitanie,Hautes-Pyrénées,43.091463,-0.045726,[25750],Triathlon XS
Courir la Jules Verne ,2024-06-23,2024-06-23,5000,0,,Voyage au centre d'Amiens !,Hauts-de-France,Somme,49.894067,2.295753,[10000],Marche 5 km
Speed Lohéacienne,2024-06-23,2024-06-23,10000,0,,Une course qui donne Loh à la bouche,Bretagne,Ille-et-Vilaine,47.8667893,-1.8917513,[],Course sur route 10 km
Ardennes Mega Trail,2024-06-23,2024-06-24,13000,600,,Nature et découverte ,Grand Est,Ardennes,49.8839479,4.84195,"[85000, 48000, 26000]",CDS - Crêtes de Semoy - 13 KM
Trail de l'Île d'Yeu,2024-06-24,2024-06-24,45000,257,257.0,T'as de beaux Yeu tu sais !,Pays de la Loire,Vendée,46.70935290000001,-2.3466244,"[15000, 23000]",Trail 45 km
Les Foulées de La Cathédrale,2024-06-24,2024-06-24,9800,0,,Il est venu le temps des Cathédrales,Centre-Val de Loire,Eure-et-Loir,48.44385399999999,1.489012,[5000],Foulées de La Cathédrale
Ekiden Grandes Heures Nature,2024-06-24,2024-06-24,42195,1260,,À tes heures perdues,Bourgogne-Franche-Comté,Doubs,47.2404763,6.008138499999999,[],Marathon
Semi Marathon de la Côte des Vikings ,2024-06-24,2024-06-24,7000,0,,À l'abordage ,Normandie,Manche,49.5859178,-1.2644094,[21100],La course de l'huitre 
Les Courses du Tilleul,2024-06-24,2024-06-24,10000,0,,,Grand Est,Haut-Rhin,47.72967999999999,7.147285000000001,[5000],Course des As
Corrida de Langueux,2024-06-24,2024-06-25,20000,281,,Et non pas chorrida de langueux si t'as un cheveu sur la langueux,Bretagne,Côtes-d'Armor,48.494183,-2.714449,"[5000, 12000, 19000, 10000, 18000]",Trail 20km
Marathon du Vignoble d'Alsace,2024-06-24,2024-06-25,5000,0,,La choucroute ch’est bon ,Grand Est,Bas-Rhin,48.5384954,7.5155033,"[10000, 10000, 42195, 21097]",Les Foulées Doubles
Course de la Citadelle,2024-06-24,2024-06-24,10000,0,,À l'assaut de la Citadelle !,Hauts-de-France,Nord,50.62925,3.057256,"[5000, 5000]",Course sur route 10 km
Course Nature du Parc de Flers,2024-06-24,2024-06-24,8500,0,,Il te faudra du Flers,Normandie,Orne,48.7503746,-0.5701662,[],"Trail 8,5 km"
La Fêlée Gourmande,2024-06-24,2024-06-24,10000,0,,,Normandie,Seine-Maritime,49.5745759,0.4670195,[5000],Trail 10 km
Run'In Lisieux,2024-06-24,2024-06-24,10000,0,,Ouvre bien tes sieux,Normandie,Calvados,49.145922,0.227849,[5000],Course sur route 10 km
Nocturne de Puyricard,2024-06-24,2024-06-24,10000,0,,Une douce soirée d'été,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,43.582607,5.408437999999999,[],Course sur route 10 km
